Age,Label
79161615,docs
79161615,good first issue
58183,docs
58183,good first issue
3333847,build
3333847,external
68450,Hacktoberfest
68450,good first issue
14735352,docs
48754840,docs
34098,docs
1504,docs
1504,new
34673404,docs
3377004,docs
282133,new
282133,site
362393,docs
315313,docs
1832949,docs
270,search
82779,docs
592568,docs
13036823,docs
927170,docs
25290,build
927785,build
328010,xt
2131251,search
1853,xt
1279715,docs
1279715,search
15741425,docs
82162,docs
82162,good first issue
242799,docs
8092651,docs
2085164,big
2085164,search
2861927,docs
13092,wishlist
13092,xt
1116111,build
958158,docs
958158,good first issue
339237,docs
104974,site
63772,build
5267278,docs
8598,big
2266099,docs
76213,docs
2672783,docs
25476433,docs
172229,Hacktoberfest
172229,search
52436824,docs
47250446,docs
47250446,search
13945,build
1172333,docs
100407,docs
1811330,site
32425153,build
500925,docs
2647422,build
20749157,docs
33511727,docs
73423511,external
3639763,build
3639763,site
3639763,wishlist
1059365,docs
1059365,update
38887807,docs
3925,build
3925,good first issue
68757,docs
851112,docs
851112,good first issue
851112,update
333201,docs
26772036,docs
541791,meta
640,docs
165895,build
1235564,docs
1235564,good first issue
1235564,update
3514952,docs
17687397,bug
17687397,docs
7818,build
1006296,docs
2858032,search
260542,build
260542,docs
260542,good first issue
16201813,NOTSPECCED
108513,docs
1873527,docs
1873527,search
36258301,docs
36258301,update
1131368,search
418570,bug
418570,build
418570,new
16568799,docs
16568799,good first issue
8192,docs
2774777,docs
2774777,good first issue
2774777,new
415497,good first issue
415497,new
29199350,docs
29089763,docs
85731269,build
85731269,docs
182927,docs
811,docs
43563,bug
43563,docs
261362,build
261362,meta
1677538,big
6667,search
116,docs
3898035,docs
3316696,docs
21520434,site
469237,search
1869137,search
1426390,docs
1426390,update
24688916,docs
15935386,docs
61692,docs
7822284,docs
1492793,xt
721054,docs
721054,new
18417435,docs
18417435,external
27473207,search
29683801,docs
110074,site
4461137,search
3813759,docs
40878427,docs
6226496,docs
6226496,new
1265099,docs
9295534,docs
9295534,new
284,build
17451758,build
26118,docs
23798114,good first issue
23798114,update
25284,site
43477,docs
349928,docs
699346,docs
699346,good first issue
699346,update
476675,build
79037,build
926917,good first issue
926917,search
