File,Entropy,Authors,Size
src/core/Slang.pm6,0,1,400
CONTRIBUTING.md,1.5047882836811908,5,6093
tools/build/NQP_REVISION,2.3681994490020464,33,20
src/core/Parameter.pm6,0,1,16950
docs/announce/2012.12,0,1,3364
src/core/operators.pm6,0.9502705392332347,3,30436
src/vm/jvm/runtime/org/perl6/rakudo/RakudoContainerSpec.java,1.007483124852453,4,7701
docs/announce/2015.01.md,0,1,3430
src/core/Rakudo/Internals/HyperIteratorBatcher.pm6,0.5623351446188083,2,1338
src/core/Proc.pm6,1.0397207708399179,3,8618
t/05-messages/03-errors.t,0.9911388966130941,4,4089
src/core/Signature.pm6,0.6365141682948128,2,6651
src/core/Rakudo/Internals/RaceToIterator.pm6,0,1,1403
src/core/Whatever.pm6,0,1,673
docs/announce/2016.07.md,0,1,5417
src/Perl6/Metamodel/Configuration.nqp,0,1,868
docs/announce/2017.08.md,0,1,8943
tools/build/nqp-jvm-rr.pl,0,1,582
src/Perl6/Metamodel/MultipleInheritance.nqp,1.2130075659799042,4,2980
docs/announce/2015.12.md,1.523805823714218,10,21907
docs/announce/2010.11,0,1,2148
src/Perl6/Metamodel/DefaultParent.nqp,0.6931471805599453,2,317
t/3rdparty/Unicode/10.0.0/extracted/DerivedGeneralCategory.txt,0,1,247750
src/core/Nil.pm6,0,1,1800
docs/announce/2017.09.md,0,1,7625
tools/build/Makefile-Moar.in,2.477464577525204,27,15431
docs/announce/2012.04.1,0,1,3049
t/02-rakudo/v6.d-tests/01-deprecations.t,0,1,73
.travis.yml,2.048032233565958,11,1335
t/09-moar/General_Category__extracted-DerivedGeneralCategory.t,0,1,499
src/core/Rakudo/Metaops.pm6,0,1,6524
docs/running.pod,2.2873279346935895,14,5219
src/core/Real.pm6,0.6931471805599453,2,6723
src/core/Rational.pm6,1.6094379124341005,5,8351
docs/announce/2012.08,1.0549201679861442,3,3806
src/core/set_addition.pm6,0,1,5349
blib/Perl6/.gitignore,1.0986122886681096,3,22
docs/announce/2009-09,1.0114042647073516,3,3497
lib/NativeCall/Compiler/MSVC.pm6,1.0986122886681096,3,3100
docs/announce/2016.01.md,0.5982695885852573,2,5644
docs/language_versions.md,1.3862943611198906,4,7015
src/core/CompUnit/Loader.pm6,0,1,2226
tools/lib/NQP/Configure.pm,2.3782890023130707,21,11028
docs/announce/2017.01.md,0,1,13822
t/04-nativecall/19-function-pointers.c,0,1,321
t/02-rakudo/04-diag.t,0.5623351446188083,2,987
src/Perl6/Metamodel/EnumHOW.nqp,1.3097558619082144,6,5374
src/core/JSON/Pretty.pm6,0.6931471805599453,2,411
docs/announce/2016.08.1.md,0,1,2361
src/Perl6/Metamodel/RolePunning.nqp,1.3321790402101223,4,1933
t/04-nativecall/20-concurrent.c,0,1,258
t/07-pod-to-text/01-whitespace.t,1.0986122886681096,3,1508
src/Perl6/Metamodel/BUILDPLAN.nqp,1.203507942763513,6,6763
src/core/Stash.pm6,0,1,2476
docs/ops.markdown,1.5607104090414063,5,5703
src/core/Associative.pm6,0,1,145
src/core/asyncops.pm6,0,1,2666
src/core/ShapedNArray.pm6,0,1,1692
src/Perl6/Pod.nqp,1.71613960370191,13,49992
src/core/IO/Socket/INET.pm6,0.6931471805599453,2,4820
t/03-jvm/Foo.java,0,1,738
src/Perl6/Metamodel/MethodContainer.nqp,0.8018185525433373,3,4011
lib/NativeCall/Types.pm6,2.0837660374856477,9,9909
src/core/Encoding.pm6,0,1,244
t/04-nativecall/07-writebarrier.c,0,1,933
docs/announce/2013.10.md,0.5004024235381879,2,3101
docs/announce/2015.05.md,0.8675632284814612,3,4675
tools/release-dates.p6,0,1,657
src/Perl6/Metamodel/GenericHOW.nqp,0.5623351446188083,2,1290
src/core/CompUnit/PrecompilationRepository.pm6,0,1,12310
src/core/CompUnit/PrecompilationStore/File.pm6,0,1,8060
src/core/Int.pm6,0.5004024235381879,2,14582
src/core/MixHash.pm6,0,1,7215
docs/announce/2018.04.1.md,0,1,2724
src/core/IO/Spec/Unix.pm6,0,1,9053
tools/build/create-moar-runner.pl,2.2711735874793155,12,3012
docs/announce/2018.04.md,0,1,9309
docs/announce/2010.08,1.277034259466139,4,2827
t/02-rakudo/11-deprecated.t,0.6365141682948128,2,708
src/core/SLICE.pm6,0,1,33125
docs/announce/2014.12.md,0,1,4089
src/core/JVM/IOAsyncFile.pm6,0,1,2407
src/core/Pair.pm6,0.6365141682948128,2,4647
docs/announce/2014.10.md,0.410116318288409,2,3656
src/core/CompUnit.pm6,0,1,1659
src/core/SlippyIterator.pm6,0,1,1608
docs/release_guide.pod,2.5117297746700817,28,18519
src/Perl6/Metamodel/ParametricRoleGroupHOW.nqp,1.1679373677256644,4,6331
t/08-performance/99-misc.t,0,1,274
t/04-nativecall/19-function-pointers.t,0.6365141682948128,2,402
src/Perl6/Metamodel/NativeHOW.nqp,1.5092734237775407,6,3698
src/core/OS.pm6,0.6931471805599453,2,129
docs/module_management.md,0.6931471805599453,2,27090
src/core/Setty.pm6,0.6931471805599453,2,9712
t/04-nativecall/06-struct.t,1.6188490916819116,7,5180
t/01-sanity/09-end-blocks.t,0,1,639
src/core/Map.pm6,1.0397207708399179,3,15695
src/core/IO/Spec/Cygwin.pm6,0,1,2269
docs/announce/2013.01,0.6931471805599453,2,3626
t/04-nativecall/06-struct.c,0.9502705392332347,3,2801
src/Perl6/Metamodel/ClassHOW.nqp,1.1413591046838518,5,9723
src/core/CallFrame.pm6,0,1,1950
t/05-messages/10-warnings.t,0,1,2845
docs/announce/2017.03.md,0,1,9148
src/Perl6/Metamodel/ArrayType.nqp,0.6931471805599453,2,459
docs/guide_to_setting.pod,1.0027182645175161,4,2082
src/Perl6/Metamodel/TypePretense.nqp,0.6931471805599453,2,434
src/core/HyperSeq.pm6,0.6931471805599453,2,1394
docs/announce/2017.12.md,0,1,6104
src/core/ShapedArray.pm6,0,1,23131
src/Perl6/Metamodel/BaseType.nqp,0.6931471805599453,2,1006
src/core/Scalar.pm6,0,1,1049
src/core/Rat.pm6,0,1,8412
docs/announce/2015.10.md,0,1,4593
gen/moar/.gitignore,0,1,2
docs/announce/2010.05,0.9502705392332347,3,2565
src/core/Code.pm6,0.6931471805599453,2,11560
src/core/set_subset.pm6,0.6931471805599453,2,6110
src/core/core_prologue.pm6,1.0986122886681096,3,1798
t/harness5,0.857174043642079,4,7753
src/core/Failure.pm6,0,1,5628
